PAP1 RPL28
TAF7 HERPUD1
HOS2 CLDN11
YAF9 REC8L1
ARC19 MT-ND4
TIF35 CDH24
CDC3 HOOK2
HDA1 SCOC
HDA3 HNRPA3
CAP2 PRKAB2
CAP1 PRKAG1
SNF2 ILF3
ARP4 CIC
CDC11 PSMF1
RET3 KIAA1443
SDC1 ING2
NOP1 CSNK2A1
MRPL28 PA2G4
SNF12 HAAO
PIL1 ST3GAL4
LSP1 ELOF1
YKE2 TNFRSF4
LSM6 RAD18
ARP2 KCNN4
RPC17 GPAA1
CDC16 ROR2
NUP159 WNK4
TFB4 IL5RA
PHO23 TMEM43
PPH22 GNAI3
RXT2 HLA-DMA
TIF5 PIN1
DPH1 TMEPAI
DPH2 USP10
BRX1 YWHAH
CWC23 VPS18
SPP382 STAT4
DSL1 MGAT4B
ERV25 MICAL1
TFC1 MT1H
TFC7 C16orf77
TIF4632 CDH1
CDC33 SPEN
RSM10 KLC2
MRP4 KCNK3
COG8 SELP
COG6 SERPING1
RRI1 NCDN
CSN9 AMOTL2
NUP2 TBN
RSM23 UCP3
NAM9 GABBR1
TIF2 CA9
TIF1 CSF2RA
ARC18 PDLIM3
RSM7 ENO1
RSM22 TRIM26
MRPL7 ARID4B
SEC5 C17orf65
SEC3 AARSL
GIM3 ZNFX1
RSM24 PDC
RPF1 SKP1A
RGP1 C1orf116
RIC1 C11orf41
MRPS18 ATP5A1
APS1 RFC5
APL4 BRD4
TIF4631 PPARD
MNN10 AHSA1
MNN9 TCF25
PRP43 MAPK14
MRPS35 DOCK7
AIR2 GATAD2A
PAP2 SCN8A
UBA2 RBM12
AOS1 ZBTB11
MRPS9 PPP2R1A
FUN12 UBB
DCP1 PRDX6
ZDS2 NGB
SNX41 KIAA2026
SNX4 AP4E1
MRPS28 C22orf9
IES3 CRYZ
HCR1 CTNND1
MLC1 S100A14
MYO2 PPP1R13B
SKI2 CBFB
SKI3 RUNX2
EAF5 EBI3
RRP5 YWHAB
CHS5 CNO
BCH1 VPS37B
HSC82 NCAPG
HSP82 C10orf12
PUF6 IKBKB
MNN11 GHRHR
SWC4 ACCN2
IPI1 TNIP2
CIC1 NFKBIB
VPS1 PAIP1
MOT1 HECTD1
YML6 IL9R
VMA7 RPS28
VMA13 TROAP
RSC30 BNIP3
HDA2 L3MBTL2
LEU4 CD1E
LEU9 CENPH
APM3 CMAS
APL6 C11orf54
MRP51 KDELR1
LRP1 SENP2
APL2 RFC1
ERP2 RAB1B
NRD1 MBD3
NAB3 PTPN14
RLP7 POLR1D
RPL2A RASA1
RPL6A MAPK3
RSM26 KCTD20
ROX3 SNRPG
SNT1 PLIN
SNF1 BFSP1
SNF4 DPYS
SRP14 PIWIL4
SRP68 POLK
UBP3 TBCD
BRE5 TUBB2A
SIT4 KLK1
SAP185 GAD2
SPT4 THOC4
SPT5 DCP1A
DBP10 IKBKG
SSU72 C1R
PAA1 HBZ
PTC2 C21orf91
PEP3 RPS15A
PEP5 TUSC3
ANP1 GHRH
DHH1 NPDC1
GIR2 RAPGEF3
RBG2 PRKAG3
IWR1 STIM1
GYL1 ZNF403
GYP5 PURB
SRP72 DRAP1
RPL17B SOCS1
SSN3 YBX1
COG3 LMBR1L
COG4 NBEA
RPL2B MAPK8
TID3 NLGN2
NUF2 APOM
RPS11A CTNNB1
RPS8B PRKCD
RVS161 C5orf22
RVS167 C2orf17
CHD1 AKAP8L
SWR1 SYT11
VPS33 LMO1
DIB1 RAD51L1
RPS17B SHC1
ZDS1 ATP1B2
MED2 SF3B4
RPS8A PXN
RPS11B GRB2
PHB1 TOPBP1
PHB2 DIMT1L
RPL15A TP53
TPS3 LNPEP
SEC65 TAF9B
IES5 CSDE1
SET3 HPS5
SRP54 RFX5
SPC24 MLF1IP
RPA12 C3orf15
MRP13 INPP5A
TFC6 HADH
MRPL17 SKIV2L2
RPA34 CDC37L1
SEC10 FRAT2
SMC1 SEPT11
SMC3 DPM2
SKI8 GM2A
RPL17A PTPN11
RFC5 ARL5A
RFC3 SLIT1
BMH2 HIST1H1C
BMH1 GABRQ
SEC6 CATSPER1
ELP2 PRAF2
ELP3 TMEM132A
RPL3 RELA
APM1 FAF1
MRPL3 PRLH
CKS1 GNB4
CDC28 GNG10
SPC97 GGTL3
TUB4 FGF9
SHP1 EID2B
CDC48 PCGF6
HHF1 PRKCH
PSH1 KCNH5
SEM1 SCNN1B
MRPS5 USP7
SWI1 NES
ISW1 TIA1
IOC3 CR1
SWP82 WDR7
YKU80 STOML2
YKU70 PTRH2
LSM5 CDKN2D
IKI3 ROCK2
VPS29 PTRF
VPS35 MYBPC2
RPL20A MAPK1
TFC4 RPS20
FRS2 ANXA4
FRS1 KLF8
TRS31 MICA
TRS33 KLRK1
CEF1 SNAP29
NAS6 TRAPPC5
NOP14 FLT1
NOC4 KRT18
PCI8 MAD1L1
TFP1 UBR1
RAI1 BAZ2A
RAT1 LMX1A
MRP8 ZDHHC23
SNU23 HLA-DPA1
ARC40 DNER
MPP10 RAC1
YHC1 NEFL
SNF6 PLEKHF1
TFC3 DDX18
DPB4 MAPK10
PRP11 SSTR5
EFT2 TAF1C
EFT1 C7orf34
PFK1 ZBTB48
PFK2 ARL4D
RPL13A SP1
BLM10 DLX2
GUS1 TAF4
COG5 SCGB1A1
SPC98 TXNL1
RRI2 SCN2A2
DEP1 FSHB
ENP1 WAS
EMG1 IRS4
PRP45 HTRA2
ARX1 NCOA6
NOG2 TNIP1
NOP12 NCOR2
KEM1 ERBB2IP
NUP84 ICAM5
NUP145 IL28B
ECM16 NCK1
SWC5 PICK1
IMD2 TGFBR1
TIF6 TBP
RPS9B IGF1R
RPS13 SRC
RPL27B CREBBP
NAT1 ADCY7
ARD1 C10orf54
SOH1 SNRP70
VPS16 MTSS1
SYC1 TFAP2C
NPL4 PPP1R3B
UTP7 FRS2
TAF14 FOXP4
CWC2 SP100
HHF2 SDCBP
PDB1 SPINT1
PDA1 SPINT2
LTV1 MST1R
MRPS17 RIN1
VMA8 SERPINB9
MRPL4 EXOSC10
RFC1 ERO1LB
SWD3 CHGA
RPL6B SMAD4
EFB1 CDK5R2
TEF4 C8orf32
TRM8 MTHFD1
TRM82 EDEM1
SEC72 TTC14
SEC63 KCNN2
SEC66 P4HA3
APC1 FZD5
NUP60 SEMA7A
MRPL1 EXOSC1
CTF3 REEP6
CTF19 PRMT3
RPL7B SMAD3
MTF2 ZNF653
SLS1 BXDC2
SPB4 POLR1B
RPL25 EP300
CHC1 RDM1
CLC1 MRPS26
NUP120 NOTCH3
RPL16B STAT5A
MSI1 FAM13C1
CAC2 PRDX5
LSM7 UBE2B
RSA4 SPAG9
COG1 MASP1
UFD1 DBF4B
SIC1 GNB1
PGK1 AVPR1A
FBA1 BRAP
RPL28 AR
RPS24A BCAR1
TFC8 TKT
KRE33 PRKCZ
EXO84 HBA1
NOP15 NCOA3
RFC4 NMT1
MBP1 PTPRG
SWI6 B3GALT4
RPL11B INSR
RPL30 RB1
AFG3 PUM1
YTA12 CCDC88
UTP5 SUGT1
UTP22 HSPA1A
HRB1 RPL9
RPS4A AKT1
IMP3 PDRG1
UTP20 YWHAE
RPS14A FYN
MSH6 KIAA0515
MSH2 TIMM22
RPL10 SUMO1
CWC22 SYBL1
ENO2 SNCG
COG2 LCN1
OCA4 NAGPA
OCA5 NDUFB8
RPS5 CRK
RPS7A EGFR
ROT2 ZMYND19
GTB1 HACL1
AME1 RPL24
OKP1 CDK10
HTL1 NCBP1
USE1 MID2
URB2 PAX7
URB1 POLR1E
RXT3 CGB
IKI1 SOX11
CAM1 DSC2
SFB2 NKRF
SEC23 LRCH3
LHP1 TK1
LAT1 HGFAC
KAP114 TRPC4
NAP1 CDON
RPL35B DOK1
PUP1 ARPC4
ATG17 ARL14
ATG29 TRBV2
RPL13B CAV1
COG7 ASXL2
GAL83 MTMR7
RCL1 ARHGEF7
BMS1 BAD
MCM21 SUCLG1
TMA20 ITGA4
TMA22 LGALS8
ELP4 POU3F3
TRM112 ARHGAP17
TRM11 DNAI1
TEX1 MTMR10
RPL1B BRCA1
CSI1 MLX
BUR2 PUNC
SGV1 OTX1
GSG1 KLRC4
DNA2 TTLL5
ACT1 HNRPUL1
CAF40 DEFB103A
SLX5 EDA2R
SWA2 EDA
MYO4 PPIL5
SHE2 SPOCK2
CEG1 TNXB
CET1 SMAP1
CTK1 SPAST
CTK3 SSNA1
BRE1 SESN1
LGE1 FAT
SUP45 GALNT12
SUP35 NPNT
STE50 ATXN7L1
STE11 IL10
RTT109 LAPTM4A
VPS75 NEBL
SDS22 MAGED4
RPL32 TYK2
YHI9 DEF6
PET123 ATF5
RPL31A BCR
MRP21 KIF5B
POP2 TRPV1
MRPL8 EXOSC3
KAE1 AGL
CGI121 EGFL6
SIW14 MRPL28
OCA1 FZD4
MAK5 MYOD1
CHL4 C10orf62
RPL16A RAF1
RPL36A PLCG1
NUC1 AP3M1
TRZ1 DHRS1
LTE1 THOC5
KEL1 NMU
RPL26B CBL
RPL14B RET
MCD1 DPM3
SOF1 IL16
MTR4 IL19
APS3 CPNE3
APL5 ZNF588
CMD1 OSTM1
CYR1 JAKMIP2
SRV2 SYTL5
RPL9A PTPN1
RPS1B LYN
RPS6A PTK2B
YNG2 PYCR2
RPS22A SMAD2
UFE1 DYDC1
VMA10 HIC2
NSA2 FBXW7
MCM22 GPR143
NKP2 SMPDL3A
ATG11 DDX6
FBP26 WDR25
YLR345W TNRC4
PHO81 CCDC101
PHO85 FOXL1
TRS130 ZNHIT1
ECM2 RAB5B
CPR1 STK4
POL31 S100A11
POL32 LRP5
TRS20 BAALC
BET3 RAET1G
SME1 HIST1H2BB
RPS3 PIK3R1
MRT4 NFKBIA
EAF7 GABPB2
SWI4 MSLN
HSH49 PHKG1
GBP2 IRS2
RPL19B SH2B2
PEA2 CLUAP1
SPA2 STX18
RRP9 ARHGEF2
SPC25 SSFA2
RPL8B ESR1
SNT309 RAB5C
VID28 C10orf88
GID8 MYOM2
RPL18B STAT5B
RPS24B PRKCA
SEC31 COL4A3BP
SEC13 KCNIP4
CDC27 NUTF2
RLF2 SCEL
SUB2 DHPS
SDA1 THRB
POL5 MSN
SAP155 C14orf48
RPL20B HDAC1
LPD1 RPN2
KGD1 KLF9
MRPL24 DIS3
HSE1 EDNRA
VPS27 EDN3
VPS54 INSIG2
VPS52 PRRX2
BFR2 LCP2
ENP2 MET
TFA1 SSR1
TFA2 IDH1
GON7 FMNL3
RPL8A JAK2
PCF11 TCF7L1
CLP1 WDR61
RPF2 REL
MET13 TEGT
MET12 NEXN
RPS4B IRS1
EHD3 COPB1
IMG1 PFDN5
MHR1 ALS2
PCL8 FAM120B
RTS1 RGS5
SHE3 S100A16
NOP4 PCAF
IPP1 HEXIM1
ROM2 UNC13D
RPS16B PTPN6
KGD2 TBX19
POL3 MESDC2
ARP5 CRYAB
FPR4 PDCD2
CSM3 KCTD3
TOF1 PEX16
POP1 ABCG4
POP3 LGALS4
DSN1 AMBP
NSL1 C1orf124
GAR1 TOP1
CBF5 PIK3R2
TOA2 RPGRIP1
TOA1 NPHP4
MTW1 TGM3
EBP2 FBXW11
RRP7 PRKAR1A
SIP1 SLC17A7
RPS9A CDC25B
MRP49 EXOSC4
LSM8 TRAK1
RPP2B VAV1
RPS0A CXCR4
RPS0B EPHB1
VID30 CRHR1
IMG2 IL9
RPL1A NR3C1
YPT31 ANKRD13A
GDI1 SCN3A
SMX3 UHRF1
FYV10 MEF2B
ADE16 GABRA2
RPA14 AMY1A
RPL12B NTRK1
RPS1A JAK1
TRS120 HCST
RPL7A NFKB1
EDE1 P2RXL1
SYP1 ACPP
SIP2 BFSP2
MLH1 RGS13
PMS1 NOL1
TRA1 EMILIN1
CDC36 BMPER
NOT5 ATG5
MYO5 MAML2
RRP12 CASP3
MDS3 SLC16A8
CDC25 SERPINA4
UBP8 MCM2
PSA1 UBE1DC1
PGA2 PAX9
APM2 CHTF18
CRN1 WNT4
NIC96 TMEM19
HTB2 HNRPF
VMA6 NCSTN
VPH1 C20orf72
VMA4 RECQL4
RSM27 UCP2
MRPL20 EXOSC6
RPL24A ABL1
SEC8 PRR13
RPP1 ELMOD1
PUF4 GAB2
TSR1 CD36
RPL36B JUN
PRI1 CDH4
GCN20 SART3
GCN1 MS4A2
YJL070C CCDC89
AMD1 NKD1
CDC40 EEA1
BUD32 EIF4H
PFD1 FGD4
YDR049W NXPH3
SEC16 PPP2R5A
NTH1 NASP
SEH1 PSEN2
RPL4A STAT3
HOC1 LGALS7
MRPL16 RASGRF1
PRI2 PCDH17
ECM30 HERC2
UBP15 TRIM21
POP4 THG1L
RTS3 LIG3
NKP1 DBC1
YMR099C AASDHPPT
ABF2 HNRPU
RFC2 GPC1
CTK2 NDUFS3
GEA2 APBB1
CRM1 VPS26A
NUP85 WDR3
PWP1 TXNDC11
MRPL13 PFDN6
RPL5 YWHAG
APC5 SLC22A1
HTA2 PPM1A
RPS6B LCK
DCS1 C1orf63
DCS2 BCL11B
AAR2 TOLLIP
CLB3 GNG3
SNM1 ALAS1
HSP60 CART1
MKT1 NKX2-2
RAD10 PHEX
RAD1 NTNG2
BCY1 VNN2
TPK2 NUCKS1
RRP1 MCC
DOP1 PPP1R15B
MON2 ASPM
YGR283C FBF1
YMR310C HIF1AN
POP5 ATP6V1B1
NFS1 CSTF2T
ISD11 C20orf42
YKT6 WISP1
NHP6A BLNK
PTC3 BFAR
UTP30 CDC42
SRP21 DDN
PIH1 SBF1
RAD52 UBE2M
PNO1 SYN1
DIM1 PAK2
YIL161W SLC25A20
FAP1 NAPG
YAP1 CSF1
MSL1 MAPK12
NTR2 MAP2K6
ARP6 TRIM22
GIM4 NUDC
KRR1 PECAM1
KRI1 ADRB2
RPL4B HSP90AA1
SEN1 MTA2
TRS23 MICB
TRP2 GGTLA4
TRP3 IHPK2
OYE2 PAX6
OYE3 SOX3
HTZ1 ITPR3
VPS5 ZFAND2B
YPT52 NIP7
YMR258C CDSN
DPB3 DNMBP
SAW1 FGF23
MDM20 REG3A
NAT3 REG1A
YER071C LTBP4
AIM21 PRKAG2
CCT4 SH3BP5L
CCT6 SFRS11
MRPS8 PCTK1
RPS30A PTK2
VMA5 PDK1
PBP1 ALS2CR12
LSM12 SPINK5
ASF1 SOX4
RAD53 MAP7
PGI1 GRK5
PDC1 MAP1A
HOT1 SCARB1
FAS1 SFRS10
FAS2 ERP29
SPB1 NFKB2
RIX7 MTIF2
NOP8 F9
BCP1 HIST2H2AC
RKM1 ZIC2
HIR1 NAGA
HPC2 BAHD1
WBP1 INDO
SWP1 CXYorf3
VAM6 GLTSCR2
ESF1 ITK
ESF2 TUB
VPS17 KIAA1305
RPS7B SOS1
GSY1 FIP1L1
GSY2 C1orf89
VPS8 LOXL4
SWC7 GTPBP10
RLI1 PTOV1
APC4 ATP6V1G2
SEC15 ATP6AP1
LSM3 LRRC1
FUN19 CPXM2
KAP123 STATIP1
MRPL9 IHPK1
BDF2 INA
BDF1 AQP1
KEX2 THAP2
SIL1 SPERT
RSM19 TIAF1
ULA1 GSTA2
UBA3 GSTA1
TUS1 TSEN2
YPL066W TSEN54
CAF130 CSNK1A1L
PSE1 IKBKAP
ULP1 TXNDC9
VPS72 SYCP3
TFS1 PLA1A
PRC1 ALG9
VMA2 PDK2
NUP1 ADAMTS5
MIR1 BCAR3
SRP101 ACTG2
SRP102 ARHGEF3
LCP5 CEACAM1
ADH1 SCUBE3
RPL42B CRKL
SLX9 LMNB1
ABP1 CHMP6
PAB1 CDK5
IMD1 STAT6
DBP9 PPARBP
VPS41 TAL2
RPL27A MDM2
RTG3 TMEM24
RTG1 MTMR8
PRP24 NLRC4
MAS2 RNF34
MAS1 SEC24C
NHP2 EEF1B2
RTN1 QPRT
PEP4 VTCN1
ELG1 OPTN
RPS18A IL2RB
STI1 LDB2
IML3 SURF6
MRPL15 PRLHR
RAM1 APOC2
RAM2 GBP1
SBP1 DAB2
VAC14 MGLL
FIG4 FSIP2
YGR130C FAM105B
YMR031C C7orf30
HIR2 TBCC
YPT6 APOD
RAV2 SLC26A3
RAV1 DLAT
YLR407W PPP1R7
MSH3 LILRA3
MDN1 NR4A1
MRPS16 PNMA2
MRPL36 EXOSC2
RIO2 EIF2S1
YMR31 TMEM139
KRE11 ULBP3
ISA2 GAB1
HTB1 ITPR1
TPK1 FAM127A
RPS20 PIAS1
MRPL10 MAP3K2
SER3 RASGRP1
SER33 C1orf182
IMP4 KIAA0802
SAM2 TAF15
SAM1 TAF12
RSP5 PODXL2
VID24 RUSC1
YNR024W GLI1
SWC3 GTPBP3
DAD1 CRAT
DUO1 NIPSNAP3A
VRP1 RBP3
LAS17 NAT2
CPA2 PIGC
CPA1 PODXL
NUP57 BSCL2
YEF3 CLASP1
PHO80 MAL2
NMA2 MYCBPAP
NMA1 CEP63
POL4 HLA-DRA
HAP2 CNN2
HAP5 UTX
SQS1 DUSP7
VPS53 SOD3
LSB3 TMEM57
SLA2 DERL2
MRPL23 NR1H4
NUP49 SIX6
RPP0 STAT1
RIM1 UBE2O
REG1 GABRB2
SNF11 MAGEH1
TAF2 ERCC5
TAF8 ANKRD24
MRP20 EXOSC7
SAK1 ZNF670
RPS22B CSK
GPM1 SH2D1B
STP22 TRHDE
SRN2 MRPL10
YHR020W HSF1
SUI1 ADAM22
SOD1 CLEC3B
CCS1 ABCG5
NIS1 EIF1AX
NBA1 C9orf24
RPS15 SYK
RPL33A UBE2I
SPT15 KIAA0240
GFA1 SEC63
ISY1 TFRC
TFB3 BAT4
CCL1 GSTP1
DOC1 SLC22A2
SPC19 GNPAT
SPC34 IDH3B
TRR1 GLUD1
TRR2 ANKRD23
SRO9 HDAC2
PTC6 PARP3
PRO2 SEMA3C
SKP1 SCN4B
RRD1 ILKAP
SAH1 SCYL3
CAF16 MTMR11
RPL29 KHDRBS1
HHT1 TXNL4A
PDX1 ITIH3
ADE17 NUDT5
YKL088W NCAM2
KAP104 CTPS
MAK10 MYH13
MAK3 AP3B2
VPS15 PDZD4
VPS38 CBX7
IDH1 FBP1
IDH2 SMS
SEC20 ITCH
SEC22 NME5
ADH2 ITGB1BP3
YAE1 NPHP3
YNL260C C1orf174
PEP8 MYBPH
ASR1 PPP1R11
SHG1 HRK
RPC11 IFITM2
NAB2 KIAA0913
HCA4 EIF4EBP1
RFS1 CHRDL1
PST2 RAB37
PRP38 SERTAD1
CIS1 GSCL
YJR011C CSRP2BP
APC9 MMP24
CNB1 RGS17
CMP2 RGS20
RPL21A KIT
RPL23A DNTTIP2
BCH2 ITGB1BP2
PTC4 ZFAND3
YDR186C SLC25A1
RNH202 NTN4
RNH201 PCTK3
YGR071C EDG7
BUD31 RABAC1
SPC72 VCPIP1
RIM11 ZRANB1
HSP104 NME1
CDC53 SCYL1BP1
CDC34 CFHR4
GLE2 CLDN3
NUP116 CLDN1
RPS19B ZAP70
YRA2 SRPRB
RAD23 SRXN1
RAD4 SERTAD2
VTI1 BGN
VPS30 DHX30
LOC1 POLR2L
DCC1 DEFA3
CTF8 C7
MAD1 ATP6V0D1
MAD2 IRF2BP1
SPG5 RBM9
DLS1 CCDC11
PAN2 HOXC13
PAN3 SETD1B
GIP3 ETFB
RTG2 BCAS1
BAT1 ABLIM3
BAT2 ALX4
REI1 EIF3S10
DED1 YWHAZ
VPS71 WDR42A
POP7 SLC23A2
RPL12A CEBPB
VHS3 DDO
YPS7 PFKP
GLO3 CTSF
RPL31B KDR
RPL18A FOS
GIN4 TYRO3
YHR131C PEX13
YRA1 BCL3
SSL2 C7orf26
YOR352W ZIK1
NNF1 CALML5
RPL38 JUND
XRS2 MOBKL2B
MRE11 TBC1D3C
SPP381 GGA2
RTT105 TOR1B
RAD18 RPL35A
RAD6 CUEDC1
BUG1 ODF2
GRH1 ODF1
HAP3 ZNF434
MAM33 SNF1LK2
BET5 ULBP1
HRR25 SYN2
STM1 GNB2L1
IES2 CRYGC
SEC62 RBP2
NAB6 GATAD2B
EAF6 BIRC8
YGR017W SUSD1
VIP1 INSL3
SRL3 FFAR1
POP8 PDE4B
ASK1 KLK10
ILV1 GTF2A2
GLC8 ZWINT
RPS17A ZBTB16
MVB12 CRABP1
SHE4 BICD1
ASN2 TRIM17
ASN1 KLHL20
SCS2 OASL
OPI1 C14orf11
BUD20 HMGB1
GCD14 CLCA2
GCD10 ECE1
SOL2 GABRA6
PPZ1 TEAD4
EGD2 TFAP2B
DBP2 MYC
YBR137W TLE3
SGT2 GOLGA7
YHR122W RAB18
MET18 GFRA3
UBC13 AFP
MMS2 CHRM1
LCB2 CWF19L1
LCB1 FRMD5
MYO3 CYB5R1
