YeastENSP YeastSGD YeastEntrezID YeastBioGRID HumanENSP HumanHGNC HumanEntrezID HumanBioGRID Comp
YDR044W HEM13 851614 32099 ENSP00000264193 CPOX 1371 107763 1
YDR045C RPC11 851615 32100 ENSP00000293860 POLR3K 51728 119701 1
YDR050C TPI1 851620 32104 ENSP00000229270 TPI1 7167 113020 1
YDR060W MAK21 851632 32115 ENSP00000234170 CEBPZ 10153 115455 1
YDR064W RPS13 851636 32119 ENSP00000435777 RPS13 6207 112121 1
YDR086C SSS1 851659 32142 ENSP00000378906 SEC61G 23480 117039 1
YDR088C SLU7 851661 32144 ENSP00000297151 SLU7 10569 115820 1
YDR177W UBC1 851757 32230 ENSP00000261427 UBE2K 3093 109340 1
YDR196C CAB5 851777 32248 ENSP00000413483 DCAKD 79877 122965 1
YDR236C FMN1 851822 32287 ENSP00000365926 RFK 55312 120594 1
YDR267C CIA1 851860 32323 ENSP00000418287 CIAO1 9391 114791 1
YDR280W RRP45 851874 32333 ENSP00000368984 EXOSC9 5393 111402 1
YDR292C SRP101 851886 32344 ENSP00000328023 SRPR 6734 112612 1
YDR302W GPI11 851896 32354 ENSP00000281382 PIGF 5281 111299 1
YDR373W FRQ1 851979 32432 ENSP00000470938 NCS1 23413 116985 1
YDR394W RPT3 852003 32456 ENSP00000157812 PSMC4 5704 111677 1
YDR404C RPB7 852013 32464 ENSP00000301788 POLR2G 5436 111432 1
YDR427W RPN9 852037 32485 ENSP00000396937 PSMD13 5719 111691 1
YDR429C TIF35 852039 32487 ENSP00000253108 EIF3G 8666 114215 1
YDR460W TFB3 852071 32514 ENSP00000261245 MNAT1 4331 110474 1
YDR510W SMT3 852122 32561 ENSP00000405965 SUMO2 6613 112497 1
YEL002C WBP1 856716 36729 ENSP00000364188 DDOST 1650 108017 1
YEL026W SNU13 856687 36703 ENSP00000383989 NHP2L1 4809 110874 1
YEL058W PCM1 856652 36671 ENSP00000425809 PGM3 5238 111257 1
YER012W PRE1 856731 36744 ENSP00000362334 PSMB2 5690 111663 1
YER036C ARB1 856758 36771 ENSP00000222388 ABCF2 10061 115372 1
YER094C PUP3 856830 36840 ENSP00000225426 PSMB3 5691 111664 1
YER112W LSM4 856848 36857 ENSP00000469468 LSM4 25804 117336 1
YER146W LSM5 856889 36895 ENSP00000410758 LSM5 23658 117180 1
YER168C CCA1 856915 36921 ENSP00000251607 TRNT1 51095 119284 1
YER171W RAD3 856918 36924 ENSP00000375809 ERCC2 2068 108380 1
YFL017C GNA1 850529 31130 ENSP00000216410 GNPNAT1 64841 122317 1
YFR004W RPN11 850554 31152 ENSP00000386541 PSMD14 10213 115508 1
YGL001C ERG26 852883 33244 ENSP00000359297 NSDHL 50814 119131 1
YGL011C SCL1 852873 33235 ENSP00000452603 PSMA6 5687 111660 1
YGL018C JAC1 852866 33228 ENSP00000216027 HSCB 150274 127276 1
YGL030W RPL30 852853 33216 ENSP00000428085 RPL30 6156 112075 1
YGL048C RPT6 852834 33200 ENSP00000310572 PSMC5 5705 111678 1
YGL068W MNP1 852811 33179 ENSP00000333837 MRPL12 6182 112097 1
YGL103W RPL28 852775 33147 ENSP00000346015 RPL27A 6157 112076 1
YGL120C PRP43 852757 33131 ENSP00000336741 DHX15 1665 108029 1
YGR024C THG1 852908 33266 ENSP00000231198 THG1L 54974 120311 1
YGR048W UFD1 852939 33295 ENSP00000263202 UFD1L 7353 113200 1
YGR060W ERG25 852951 33305 ENSP00000261507 MSMO1 6307 112214 1
YGR074W SMD1 852964 33316 ENSP00000300413 SNRPD1 6632 112516 1
YGR090W UTP22 852982 33333 ENSP00000297990 NOL6 65083 122391 1
YGR172C YIP1 853082 33424 ENSP00000274496 YIPF5 81555 123519 1
YGR175C ERG1 853086 33428 ENSP00000265896 SQLE 6713 112591 1
YGR185C TYS1 853097 33437 ENSP00000362576 YARS 8565 114134 1
YGR195W SKI6 853109 33448 ENSP00000457865 EXOSC4 54512 120007 1
YGR211W ZPR1 853125 33464 ENSP00000227322 ZPR1 8882 114401 1
YGR253C PUP2 853168 33504 ENSP00000271308 PSMA5 5686 111659 1
YGR280C PXR1 853197 33530 ENSP00000318966 PINX1 54984 120319 1
YHR007C ERG11 856398 36434 ENSP00000003100 CYP51A1 1595 107967 1
YHR068W DYS1 856465 36500 ENSP00000210060 DHPS 1725 108070 1
YHR070W TRM5 856467 36502 ENSP00000261249 TRMT5 57570 121623 1
YHR072W ERG7 856470 36505 ENSP00000348762 LSS 4047 110225 1
YHR088W RPF1 856488 36523 ENSP00000359688 RPF1 80135 123133 1
YHR164C DNA2 856569 36598 ENSP00000382133 DNA2 1763 108103 1
YHR170W NMD3 856575 36604 ENSP00000417559 NMD3 51068 119259 1
YIL075C RPN2 854735 34917 ENSP00000309474 PSMD1 5707 111680 1
YIL083C CAB2 854726 34909 ENSP00000361642 PPCS 79717 122833 1
YIL104C SHQ1 854702 34887 ENSP00000315182 SHQ1 55164 120464 1
YJL002C OST1 853455 33755 ENSP00000296255 RPN1 6184 112099 1
YJL050W MTR4 853397 33705 ENSP00000230640 SKIV2L2 23517 117064 1
YJL104W PAM16 853340 33652 ENSP00000459955 PAM16 79585 119231 1
YJR006W POL31 853462 33762 ENSP00000386105 POLD2 5425 111421 1
YJR017C ESS1 853475 33773 ENSP00000247970 PIN1 5300 111317 1
YJR123W RPS5 853587 33879 ENSP00000471388 RPS5 6193 112107 1
YKL024C URA6 853844 34107 ENSP00000360939 CMPK1 51727 119700 1
YKL035W UGP1 853830 34096 ENSP00000411803 UGP2 7360 113207 1
YKL145W RPT1 853712 33991 ENSP00000391211 PSMC2 5701 111674 1
YKL193C SDS22 853641 33928 ENSP00000385657 PPP1R7 5510 111502 1
YKR038C KAE1 853910 34169 ENSP00000206542 OSGEP 55644 120779 1
YKR071C DRE2 853945 34202 ENSP00000377914 CIAPIN1 57019 121328 1
YKR079C TRZ1 853954 34210 ENSP00000337445 ELAC2 60528 121937 1
YKR081C RPF2 853956 34212 ENSP00000402338 RPF2 84154 123917 1
YLL031C GPI13 850628 31222 ENSP00000367880 PIGO 84720 124223 1
YLR022C SDO1 850709 31296 ENSP00000246868 SBDS 51119 119307 1
YLR026C SED5 850713 31300 ENSP00000294179 STX5 6811 112680 1
YLR088W GAA1 850777 31361 ENSP00000347206 GPAA1 8733 114271 1
YLR167W RPS31 850864 31440 ENSP00000383981 RPS27A 6233 112147 1
YLR186W EMG1 850883 31456 ENSP00000476966 EMG1 10436 115703 1
YLR208W SEC13 850905 31476 ENSP00000373312 SEC13 6396 112296 1
YLR215C CDC123 850912 31483 ENSP00000281141 CDC123 8872 114392 1
YLR229C CDC42 850930 31499 ENSP00000304283 RAC3 5881 111819 1
YLR259C HSP60 850963 31527 ENSP00000373620 HSPD1 3329 109561 1
YLR275W SMD2 850981 31543 ENSP00000342374 SNRPD2 6633 112517 1
YLR291C GCD7 850998 31557 ENSP00000266126 EIF2B2 8892 114409 1
YLR340W RPP0 851052 31602 ENSP00000376299 RPLP0 6175 112094 1
YLR359W ADE13 851073 31620 ENSP00000390107 ADSL 158 106667 1
YML069W POB3 854933 35097 ENSP00000278412 SSRP1 6749 112627 1
YML077W BET5 854898 35064 ENSP00000302783 TRAPPC1 58485 121815 1
YMR013C SEC59 855026 35183 ENSP00000361667 DOLK 22845 116517 1
YMR093W UTP15 855118 35268 ENSP00000421669 UTP15 84135 123907 1
YMR208W ERG12 855248 35386 ENSP00000228510 MVK 4598 110683 1
YMR235C RNA1 855275 35413 ENSP00000385866 RANGAP1 5905 111840 1
YMR281W GPI12 855324 35460 ENSP00000225609 PIGL 9487 114869 1
YMR296C LCB1 855342 35476 ENSP00000262554 SPTLC1 10558 115809 1
YMR314W PRE5 855362 35494 ENSP00000414359 PSMA1 5682 111655 1
YNL006W LST8 855726 35819 ENSP00000301724 MLST8 64223 122113 1
YNL061W NOP2 855664 35762 ENSP00000371858 NOP2 4839 110902 1
YNL118C DCP2 855605 35708 ENSP00000373715 DCP2 167227 127944 1
YNL124W NAF1 855599 35703 ENSP00000274054 NAF1 92345 124938 1
YNL132W KRE33 855591 35695 ENSP00000257829 NAT10 55226 120521 1
YNL247W YNL247W 855474 35592 ENSP00000369897 CARS 833 107283 1
YNL267W PIK1 855454 35573 ENSP00000357869 PI4KB 5298 111316 1
YNL287W SEC21 855429 35550 ENSP00000462407 COPG2 26958 117926 1
YNL290W RFC3 855426 35547 ENSP00000408295 RFC5 5985 111917 1
YNR003C RPC34 855737 35829 ENSP00000366828 POLR3F 10621 115866 1
YNR043W MVD1 855779 35868 ENSP00000301012 MVD 4597 110682 1
YNR046W TRM112 855782 35871 ENSP00000438349 TRMT112 51504 119576 1
YNR053C NOG2 855789 35878 ENSP00000362153 GNL2 29889 118942 1
YOL069W NUF2 854085 34332 ENSP00000356875 NUF2 83540 123673 1
YOL097C WRS1 854056 34305 ENSP00000376620 WARS 7453 113292 1
YOL133W HRT1 853986 34242 ENSP00000216225 RBX1 9978 115301 1
YOR074C CDC21 854241 34473 ENSP00000315644 TYMS 7298 113149 1
YOR095C RKI1 854262 34493 ENSP00000283646 RPIA 22934 116594 1
YOR117W RPT5 854284 34513 ENSP00000298852 PSMC3 5702 111675 1
YOR122C PFY1 854289 34517 ENSP00000322170 PFN4 375189 131959 1
YOR143C THI80 854314 34540 ENSP00000353165 TPK1 27010 117952 1
YOR149C SMP3 854320 34545 ENSP00000413405 PIGZ 80235 123197 1
YOR159C SME1 854330 34555 ENSP00000400591 SNRPE 6635 112519 1
YOR168W GLN4 854339 34564 ENSP00000307567 QARS 5859 111797 1
YOR176W HEM15 854347 34570 ENSP00000372326 FECH 2235 108526 1
YOR210W RPB10 854385 34605 ENSP00000324124 POLR2L 5441 111437 1
YOR244W ESA1 854418 34635 ENSP00000340330 KAT5 10524 115779 1
YOR259C RPT4 854433 34649 ENSP00000401802 PSMC6 5706 111679 1
YOR261C RPN8 854435 34651 ENSP00000219313 PSMD7 5713 111685 1
YOR341W RPA190 854519 34724 ENSP00000263857 POLR1A 25885 117396 1
YOR362C PRE10 854544 34747 ENSP00000216455 PSMA3 5684 111657 1
YPL028W ERG10 856079 36150 ENSP00000265838 ACAT1 38 106556 1
YPL043W NOP4 856063 36136 ENSP00000223073 RBM28 55131 120437 1
YPL093W NOG1 856012 36088 ENSP00000354040 GTPBP4 23560 117104 1
YPL131W RPL5 855972 36050 ENSP00000359345 RPL5 6125 112045 1
YPL160W CDC60 855943 36023 ENSP00000377954 LARS 51520 119584 1
YPL211W NIP7 855890 35974 ENSP00000254940 NIP7 51388 119517 1
YPL252C YAH1 855824 35911 ENSP00000377311 FDX1L 112812 125206 1
YPL266W DIM1 855862 35947 ENSP00000199320 DIMT1 27292 118116 1
YPR016C TIF6 856126 36193 ENSP00000363559 EIF6 3692 109898 1
YPR025C CCL1 856136 36202 ENSP00000256897 CCNH 902 107342 1
YPR035W GLN1 856147 36213 ENSP00000356537 GLUL 2752 109014 1
YPR041W TIF5 856154 36218 ENSP00000216554 EIF5 1983 108298 1
YPR082C DIB1 856197 36253 ENSP00000269601 TXNL4A 10907 116113 1
YPR108W RPN7 856223 36274 ENSP00000418695 PSMD6 9861 115195 1
YPR113W PIS1 856229 36280 ENSP00000455042 CDIPT 10423 115692 1
YPR176C BET2 856306 36349 ENSP00000317473 RABGGTB 5876 111814 1
YPR182W SMX3 856312 36354 ENSP00000266735 SNRPF 6636 112520 1
YPR183W DPM1 856313 36355 ENSP00000360640 DPM1 8813 114340 1
YPR187W RPO26 856317 36359 ENSP00000385725 POLR2F 5435 111431 1
YNR038W DBP6 855774 35864 ENSP00000380495 DDX51 317781 130475 1
YAL035W FUN12 851196 31730 ENSP00000289371 EIF5B 9669 115024 1
YGL040C HEM2 852842 33206 ENSP00000386284 ALAD 210 106712 1
YGR267C FOL2 853183 33517 ENSP00000419045 GCH1 2643 108913 1
YHR069C RRP4 856466 36501 ENSP00000361433 EXOSC2 23404 116977 1
YHR143W-A RPC10 856547 36577 ENSP00000430106 POLR2K 5440 111436 1
YJR007W SUI2 853463 33763 ENSP00000256383 EIF2S1 1965 108285 1
YOR057W SGT1 854222 34455 ENSP00000367208 SUGT1 10910 116115 1
YOR335C ALA1 854513 34718 ENSP00000261772 AARS 16 106534 1
YDR416W SYF1 852025 32475 ENSP00000351137 XAB2 56949 121273 NA
YHL015W RPS20 856371 36408 ENSP00000429374 RPS20 6224 112138 NA
YLR243W GPN3 850944 31510 ENSP00000442770 GPN3 51184 119359 NA
YML092C PRE8 854882 35051 ENSP00000223321 PSMA2 5683 111656 NA
YMR301C ATM1 855347 35481 ENSP00000253577 ABCB7 22 106540 NA
YOR278W HEM4 854452 34666 ENSP00000357787 UROS 7390 113236 NA
YDL097C RPN6 851461 31965 ENSP00000261712 PSMD11 5717 111689 1
YHR027C RPN1 856422 36458 ENSP00000310129 PSMD2 5708 111681 1
YAL032C PRP45 851201 31734 ENSP00000451129 SNW1 22938 116597 1
YBR002C RER2 852287 32703 ENSP00000353104 DHDDS 79947 123018 1
YBR004C GPI18 852289 32705 ENSP00000078527 PIGV 55650 120782 1
YDR397C NCB2 852006 32458 ENSP00000359295 DR1 1810 108144 1
YER009W NTF2 856727 36740 ENSP00000219169 NUTF2 10204 115499 1
YGL097W SRM1 852782 33153 ENSP00000362937 RCC1 1104 107529 1
YGL142C GPI10 852735 33110 ENSP00000164305 PIGB 9488 114870 1
YIL144W NDC80 854662 34848 ENSP00000261597 NDC80 10403 115675 1
YJL011C RPC17 853442 33744 ENSP00000378736 CRCP 27297 118121 1
YKL196C YKT6 853638 33925 ENSP00000223369 YKT6 10652 115895 1
YMR197C VTI1 855237 35375 ENSP00000376792 VTI1A 143187 126789 1
YOL021C DIS3 854138 34381 ENSP00000366997 DIS3 22894 116559 1
YOR224C RPB8 854399 34618 ENSP00000415536 POLR2H 5437 111433 1
YPL175W SPT14 855928 36008 ENSP00000369820 PIGA 5277 111295 1
YAL025C MAK16 851208 31741 ENSP00000353246 MAK16 84549 124134 0
YAL033W POP5 851200 31733 ENSP00000350098 POP5 51367 119502 0
YAR008W SEN34 851267 31794 ENSP00000459387 TSEN34 79042 122505 0
YBL020W RFT1 852261 32678 ENSP00000296292 RFT1 91869 124888 0
YBL023C MCM2 852258 32675 ENSP00000265056 MCM2 4171 110339 0
YBL035C POL12 852245 32662 ENSP00000265465 POLA2 23649 117176 0
YBL041W PRE7 852239 32656 ENSP00000262193 PSMB1 5689 111662 0
YBL074C AAR2 852205 32628 ENSP00000380455 AAR2 25980 117464 0
YBL076C ILS1 852202 32626 ENSP00000364794 IARS 3376 109605 0
YBL084C CDC27 852194 32620 ENSP00000434614 CDC27 996 107431 0
YBL097W BRN1 852180 32608 ENSP00000240423 NCAPH 23397 116970 0
YBR055C PRP6 852344 32756 ENSP00000266079 PRPF6 24148 117298 0
YBR060C ORC2 852352 32764 ENSP00000234296 ORC2 4999 111041 0
YBR070C ALG14 852362 32773 ENSP00000359224 ALG14 199857 128278 0
YBR079C RPG1 852371 32781 ENSP00000358140 EIF3A 8661 114210 0
YBR088C POL30 852385 32794 ENSP00000368438 PCNA 5111 111142 0
YBR102C EXO84 852398 32806 ENSP00000353564 EXOC8 149371 127206 0
YBR143C SUP45 852440 32843 ENSP00000353741 ETF1 2107 108408 0
YBR198C TAF5 852497 32895 ENSP00000358854 TAF5 6877 112740 0
YBR202W MCM7 852501 32899 ENSP00000307288 MCM7 4176 110344 0
YBR236C ABD1 852538 32931 ENSP00000466111 RNMT 8731 114269 0
YBR237W PRP5 852539 32932 ENSP00000416534 DDX46 9879 115210 0
YCL004W PGS1 850352 30975 ENSP00000262764 PGS1 9489 114871 0
YCL054W SPB1 850304 30932 ENSP00000396673 FTSJ3 117246 125581 0
YCR057C PWP2 850422 31035 ENSP00000291576 PWP2 5822 111780 0
YDL008W APC11 851554 32044 ENSP00000458515 ANAPC11 51529 119591 0
YDL017W CDC7 851545 32038 ENSP00000234626 CDC7 8317 113914 0
YDL030W PRP9 851531 32026 ENSP00000362110 SF3A3 10946 116146 0
YDL031W DBP10 851530 32025 ENSP00000323858 DDX54 79039 122503 0
YDL055C PSA1 851504 32003 ENSP00000309092 GMPPB 29925 118966 0
YDL098C SNU23 851460 31964 ENSP00000274712 ZMAT2 153527 127499 0
YDL102W POL3 851456 31960 ENSP00000472445 POLD1 5424 111420 0
YDL105W NSE4 851453 31957 ENSP00000358019 NSMCE4A 54780 120147 0
YDL108W KIN28 851450 31954 ENSP00000256443 CDK7 1022 107457 0
YDL140C RPO21 851415 31921 ENSP00000314949 POLR2A 5430 111426 0
YDL143W CCT4 851412 31918 ENSP00000377958 CCT4 10575 115826 0
YDL148C NOP14 851407 31913 ENSP00000405068 NOP14 8602 114162 0
YDL153C SAS10 851403 31910 ENSP00000254803 UTP3 57050 121342 0
YDL193W NUS1 851334 31852 ENSP00000357480 NUS1 116150 125481 0
YDL207W GLE1 851320 31839 ENSP00000308622 GLE1 2733 108995 0
YDR013W PSF1 851576 32064 ENSP00000262460 GINS1 9837 115174 0
YDR047W HEM12 851617 32102 ENSP00000246337 UROD 7389 113235 0
YDR091C RLI1 851665 32148 ENSP00000296577 ABCE1 6059 111986 0
YDR180W SCC2 851761 32234 ENSP00000282516 NIPBL 25836 117363 0
YDR182W CDC1 851763 32236 ENSP00000465894 MPPE1 65258 122415 0
YDR189W SLY1 851770 32242 ENSP00000390783 SCFD1 23256 116860 0
YDR190C RVB1 851771 32243 ENSP00000318297 RUVBL1 8607 114166 0
YDR235W PRP42 851821 32286 ENSP00000348010 PRPF39 55015 120347 0
YDR238C SEC26 851824 32289 ENSP00000249923 COPB1 1315 107710 0
YDR243C PRP28 851830 32294 ENSP00000310723 DDX23 9416 114811 0
YDR246W TRS23 851833 32297 ENSP00000466692 TRAPPC4 51399 119523 0
YDR299W BFR2 851893 32351 ENSP00000225402 AATF 26574 117743 0
YDR325W YCG1 851925 32383 ENSP00000251496 NCAPG 64151 122089 0
YDR328C SKP1 851928 32385 ENSP00000231487 SKP1 6500 112391 0
YDR331W GPI8 851931 32388 ENSP00000359848 PIGK 10026 115343 0
YDR361C BCP1 851963 32416 ENSP00000357748 BCCIP 56647 121161 0
YDR390C UBA2 851998 32451 ENSP00000246548 UBA2 10054 115365 0
YDR434W GPI17 852044 32490 ENSP00000309430 PIGS 94005 125082 0
YDR437W GPI19 852047 32493 ENSP00000420037 PIGP 51227 119391 0
YDR449C UTP6 852060 32504 ENSP00000261708 UTP6 55813 120923 0
YDR472W TRS31 852083 32525 ENSP00000470262 TRAPPC5 126003 125945 0
YDR473C PRP3 852084 32526 ENSP00000463536 PRPF3 9129 114577 0
YDR489W SLD5 852100 32541 ENSP00000428754 GINS4 84296 124023 0
YEL032W MCM3 856680 36697 ENSP00000472940 MCM3 4172 110340 0
YER003C PMI40 856720 36733 ENSP00000318318 MPI 4351 110491 0
YER013W PRP22 856732 36745 ENSP00000262415 DHX8 1659 108024 0
YER021W RPN3 856742 36755 ENSP00000264639 PSMD3 5709 111682 0
YER043C SAH1 856766 36779 ENSP00000217426 AHCY 191 106696 0
YER093C TSC11 856828 36838 ENSP00000296782 RICTOR 253260 128962 0
YER126C NSA2 856863 36870 ENSP00000296802 NSA2 10412 115683 0
YFL002C SPB4 850549 31147 ENSP00000238146 DDX55 57696 121721 0
YFL022C FRS2 850522 31124 ENSP00000468051 FARSA 2193 108487 0
YFR005C SAD1 850555 31153 ENSP00000386864 USP39 10713 115939 0
YFR050C PRE4 850611 31208 ENSP00000290541 PSMB4 5692 111665 0
YFR052W RPN12 850613 31210 ENSP00000215071 PSMD8 5714 111686 0
YGL065C ALG2 852815 33182 ENSP00000417764 ALG2 85365 124493 0
YGL091C NBP35 852789 33160 ENSP00000283027 NUBP1 4682 110762 0
YGL098W USE1 852780 33151 ENSP00000263897 USE1 55850 120952 0
YGL111W NSA1 852767 33140 ENSP00000435726 WDR74 54663 120092 0
YGL122C NAB2 852755 33129 ENSP00000251038 ZC3H14 79882 122967 0
YGL150C INO80 852728 33103 ENSP00000355205 INO80 54617 120076 0
YGL171W ROK1 852704 33082 ENSP00000268854 DDX52 11056 116241 0
YGL201C MCM6 852673 33056 ENSP00000264156 MCM6 4175 110343 0
YGL238W CSE1 852612 33001 ENSP00000262982 CSE1L 1434 107821 0
YGR005C TFG2 852888 33249 ENSP00000340823 GTF2F2 2963 109218 0
YGR029W ERV1 852916 33273 ENSP00000248114 GFER 2671 108939 0
YGR046W TAM41 852937 33293 ENSP00000273037 TAMM41 132001 126303 0
YGR047C TFC4 852938 33294 ENSP00000263956 GTF3C3 9330 114739 0
YGR091W PRP31 852983 33334 ENSP00000476631 PRPF31 26121 117563 0
YGR095C RRP46 852987 33338 ENSP00000221233 EXOSC5 56915 121243 0
YGR103W NOP7 852995 33346 ENSP00000346725 PES1 23481 117040 0
YGR145W ENP2 853048 33393 ENSP00000371101 NOL10 79954 123023 0
YGR246C BRF1 853161 33497 ENSP00000448323 BRF1 2972 109227 0
YGR278W CWC22 853195 33528 ENSP00000387006 CWC22 57703 121727 0
YHR024C MAS2 856419 36455 ENSP00000360782 PMPCA 23203 116811 0
YHR058C MED6 856455 36490 ENSP00000413343 MED6 10001 115319 0
YHR062C RPP1 856459 36494 ENSP00000389182 RPP30 10556 115807 0
YHR122W CIA2 856522 36555 ENSP00000387471 FAM96B 51647 119656 0
YHR148W IMP3 856553 36582 ENSP00000326981 IMP3 55272 120560 0
YHR166C CDC23 856571 36600 ENSP00000378350 CDC23 8697 114242 0
YHR186C KOG1 856593 36620 ENSP00000307272 RPTOR 57521 121582 0
YHR188C GPI16 856595 36622 ENSP00000279036 PIGT 51604 119633 0
YHR190W ERG9 856597 36624 ENSP00000220584 FDFT1 2222 108516 0
YIL003W CFD1 854814 34989 ENSP00000262302 NUBP2 10101 115408 0
YIL021W RPB3 854791 34967 ENSP00000219252 POLR2C 5432 111428 0
YIL022W TIM44 854790 34966 ENSP00000270538 TIMM44 10469 115732 0
YIL031W ULP2 854780 34958 ENSP00000402527 SENP6 26054 117517 0
YIL046W MET30 854765 34944 ENSP00000281708 FBXW7 55294 120581 0
YIL061C SNP1 854749 34931 ENSP00000472998 SNRNP70 6625 112509 0
YIL091C UTP25 854717 34901 ENSP00000419005 DIEXF 27042 117972 0
YIL143C SSL2 854663 34849 ENSP00000285398 ERCC3 2071 108383 0
YIR008C PRI1 854825 35000 ENSP00000350491 PRIM1 5557 111547 0
YJL008C CCT8 853447 33748 ENSP00000286788 CCT8 10694 115933 0
YJL010C NOP9 853445 33747 ENSP00000267425 NOP9 161424 127790 0
YJL014W CCT3 853438 33741 ENSP00000295688 CCT3 7203 113054 0
YJL072C PSF2 853373 33683 ENSP00000253462 GINS2 51659 119664 0
YJL109C UTP10 853335 33647 ENSP00000355541 HEATR1 55127 120433 0
YJL125C GCD14 853317 33631 ENSP00000374399 TRMT61A 115708 125450 0
YJL167W ERG20 853272 33592 ENSP00000357340 FDPS 2224 108517 0
YJR002W MPP10 853458 33758 ENSP00000244230 MPHOSPH10 10199 115494 0
YJR013W GPI14 853470 33769 ENSP00000357069 PIGM 93183 125010 0
YJR064W CCT5 853527 33821 ENSP00000280326 CCT5 22948 116603 0
YJR068W RFC2 853531 33825 ENSP00000296273 RFC4 5984 111916 0
YJR072C NPA3 853535 33828 ENSP00000264718 GPN1 11321 116452 0
YJR141W YJR141W 853606 33897 ENSP00000358762 UBE3D 90025 124656 0
YKL018W SWD2 853851 34114 ENSP00000296490 WDR82 80335 123245 0
YKL019W RAM2 853849 34112 ENSP00000303423 FNTA 2339 108625 0
YKL022C CDC16 853846 34109 ENSP00000348554 CDC16 8881 114400 0
YKL045W PRI2 853821 34088 ENSP00000475738 PRIM2 5558 111548 0
YKL082C RRP14 853780 34050 ENSP00000361092 SURF6 6838 112705 0
YKL095W YJU2 853767 34038 ENSP00000262962 CCDC94 55702 120827 0
YKL099C UTP11 853762 34034 ENSP00000362105 UTP11L 51118 119306 0
YKL125W RRN3 853734 34011 ENSP00000198767 RRN3 54700 120102 0
YKL154W SRP102 853702 33983 ENSP00000418401 SRPRB 58477 121810 0
YKL165C MCD4 853690 33972 ENSP00000350263 PIGN 23556 117100 0
YKL192C ACP1 853642 33929 ENSP00000007516 NDUFAB1 4706 110786 0
YKR062W TFA2 853936 34193 ENSP00000348168 GTF2E2 2961 109216 0
YKR063C LAS1 853937 34194 ENSP00000363944 LAS1L 81887 123620 0
YKR086W PRP16 853961 34217 ENSP00000268482 DHX38 9785 115129 0
YLL011W SOF1 850649 31240 ENSP00000297579 DCAF13 25879 117393 0
YLL018C DPS1 850643 31235 ENSP00000264161 DARS 1615 107984 0
YLL034C RIX7 850625 31219 ENSP00000281701 NVL 4931 110985 0
YLL036C PRP19 850623 31217 ENSP00000227524 PRPF19 27339 118151 0
YLR009W RLP24 850695 31282 ENSP00000260443 RSL24D1 51187 119362 0
YLR060W FRS1 850749 31335 ENSP00000281828 FARSB 10056 115367 0
YLR066W SPC3 850755 31340 ENSP00000427463 SPCS3 60559 121940 0
YLR103C CDC45 850793 31376 ENSP00000405726 CDC45 8318 113915 0
YLR105C SEN2 850795 31378 ENSP00000284995 TSEN2 80746 123288 0
YLR115W CFT2 850806 31387 ENSP00000298875 CPSF2 53981 119826 0
YLR116W MSL5 850807 31388 ENSP00000366604 SF1 7536 113368 0
YLR127C APC2 850818 31396 ENSP00000314004 ANAPC2 29882 118937 0
YLR129W DIP2 850820 31398 ENSP00000308179 WDR3 10885 116092 0
YLR166C SEC10 850863 31439 ENSP00000389934 EXOC5 10640 115884 0
YLR175W CBF5 850872 31446 ENSP00000472996 DKC1 1736 108080 0
YLR196W PWP1 850893 31466 ENSP00000387365 PWP1 11137 116310 0
